,communityName,state,householsize,agePct12t29,agePct65up,pctWSocSec,pctWPubAsst,PctUsePubTrans,PctPopUnderPov,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,PersPerFam,PctFam2Par,PctWorkMom,PctKidsBornNeverMar,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,LemasPctOfficDrugUn,ViolentCrimesPerPop,has_pp_access,PctFedEduFunding,PctStateEduFunding
268,Corcoran,CA,5.28,39.97,4.53,23.46,23.06,0.38,24.15,42.24,5.43,12.35,7.99,19.49,20.51,16.91,3.68,69.24,56.18,9.3,0.013543849146961988,93.33,55.94,1.66,47.51,0.0,0.7646799999999999,0,10.65,71.53
269,Corning,NY,2.26,25.86,16.98,37.43,8.93,0.89,13.69,21.56,21.13,6.84,35.05,24.53,15.4,30.28,2.92,67.1,68.78,3.14,0.02554866811861283,94.54,53.84,0.66,33.77,0.0,0.55169,1,4.18,48.38
270,Coronado,CA,3.62,45.2,11.86,30.93,4.04,6.26,4.07,5.88,39.25,1.71,8.47,27.71,3.93,43.73,2.79,80.21,70.42,0.49,0.06850037678975132,80.12,50.16,0.17,28.88,0.0,0.33273,0,7.81,41.8
271,Corpus Christi,TX,2.88,28.43,9.22,22.88,8.87,1.86,20.0,29.13,17.82,8.27,9.39,24.86,11.05,24.75,3.37,72.16,63.28,2.76,0.04170469949854925,89.28,56.59,7.5,39.87,2.435395975187704e-05,0.7929299999999999,0,8.41,47.11529411764706
272,Corsicana,TX,2.67,27.12,15.63,34.44,8.44,0.19,21.04,35.92,15.48,8.15,17.17,25.85,20.91,23.05,3.11,67.01,71.12,3.57,0.04600410283270045,89.05,61.03,2.94,60.63,0.0,0.68132,0,7.95,50.1
273,Cortland,NY,2.87,42.55,11.83,30.83,8.94,0.96,20.2,24.93,21.78,6.3,21.08,35.45,15.74,28.72,3.02,67.16,71.03,2.49,0.0185849199535377,94.94,45.64,3.8,33.15,0.0,0.20549,0,5.09,56.7
274,Corvallis,OR,2.67,43.59,8.17,19.14,3.83,1.56,20.97,7.93,49.01,5.52,12.76,43.43,7.92,37.53,2.92,76.78,67.0,1.26,0.012601380789597157,96.74,43.22,2.66,12.41,0.0,0.22096000000000002,0,3.58,49.25
275,Costa Mesa,CA,2.57,33.06,7.44,15.87,4.31,3.03,9.17,16.52,27.26,4.17,19.19,19.72,9.72,30.69,3.08,71.03,70.72,3.12,0.022250588955654495,94.59,40.17,0.7,6.86,6.62121070602032e-05,0.44883999999999996,1,4.829999999999999,28.083333333333332
276,Cottage Grove,MN,3.35,27.33,2.39,10.18,3.65,1.86,2.63,7.65,19.13,4.23,25.11,19.3,14.79,23.42,3.51,87.46,78.57,0.99,0.010856769130150426,96.5,93.48,1.61,12.05,0.0,0.19571,0,1.89,64.46
277,Coventry,RI,2.78,24.46,11.74,27.84,5.06,0.65,4.85,25.57,14.17,5.7,25.44,18.75,16.35,21.05,3.18,83.82,72.99,1.25,0.0192709841392401,94.92,80.34,1.0,57.26,0.0,0.12506,0,2.81,44.19
278,Covina,CA,2.78,28.69,9.67,21.34,7.21,2.84,7.63,17.52,16.37,5.35,17.69,20.41,13.02,26.33,3.22,70.72,68.42,2.17,0.01340060638322494,96.41,58.08,1.21,20.03,0.0,0.68647,0,6.455,65.33500000000001
279,Covington,KY,2.5,27.87,12.54,32.08,9.97,6.97,19.83,37.55,9.81,7.63,17.18,18.85,18.03,18.69,3.19,61.07,68.19,6.25,0.04155880177514793,90.59,50.78,11.12,47.55,0.0,1.58793,0,7.376666666666666,63.04666666666666
280,Cranford,NJ,2.77,22.35,14.01,30.75,1.52,8.46,2.51,12.62,33.75,2.57,15.35,24.41,7.35,37.05,3.13,86.62,70.47,1.02,0.010294702425661644,97.23,81.91,0.86,42.49,0.0,0.10335,0,1.81,11.56
281,Cranston,RI,2.59,24.23,16.87,35.27,6.39,2.62,6.52,26.03,21.11,5.96,19.16,24.21,11.88,28.84,3.02,78.22,66.56,2.08,0.015343150144622666,96.18,66.36,0.94,32.56,0.0,0.16671,0,4.11,33.4
282,Crawfordsville,IN,2.47,29.06,15.03,32.69,7.18,0.35,14.9,23.5,13.68,5.83,37.46,21.52,24.75,18.92,2.94,73.71,75.47,2.51,0.02517667844522968,94.15,60.02,0.58,34.21,0.0,0.06253,0,6.46,47.74
283,Crowley,LA,2.74,25.87,13.02,34.19,18.71,0.98,34.58,46.75,11.22,11.14,14.22,23.78,20.15,19.64,3.24,60.23,57.18,8.09,0.04970321104197955,88.01,60.67,3.74,64.89,0.0,1.02902,0,19.38,60.12
284,Crown Point,IN,2.76,23.63,13.59,28.77,2.17,1.09,3.43,17.03,20.94,5.35,20.46,27.95,11.3,29.18,3.15,84.02,70.28,0.8,0.008686823104693141,97.66,71.62,0.65,26.62,0.0005307987364620939,0.054990000000000004,0,6.14,50.01
285,Cudahy,WI,2.51,26.51,12.93,30.86,5.84,4.65,6.26,23.2,9.13,4.98,26.37,20.94,20.17,19.89,3.05,74.16,77.63,1.96,0.01082587491291066,97.36,58.92,0.99,37.62,0.0,0.21725999999999998,0,3.02,52.8
286,Cullman,AL,2.38,22.89,19.47,38.51,10.92,0.11,17.25,34.83,17.0,4.42,19.91,22.02,17.01,27.13,2.83,75.02,69.4,0.56,0.02341587491583751,94.72,58.91,1.28,30.99,0.0,0.38955,0,9.45,68.5
287,Culver City,CA,2.4,24.22,11.95,21.08,4.22,4.33,6.68,15.85,35.03,4.13,13.71,29.99,7.23,39.76,2.98,69.39,67.12,3.27,0.02002938674503132,95.41,55.53,3.99,20.72,0.0,0.9320499999999999,0,7.515,61.715
288,Cumberland,RI,2.7,23.98,13.33,29.11,4.75,1.04,3.73,25.34,22.52,5.4,27.56,21.55,16.26,28.98,3.1,85.69,74.13,0.93,0.01560024795096081,95.96,75.52,1.99,37.53,0.0,0.6243099999999999,0,5.235,44.39
289,Cupertino,CA,2.62,23.16,7.93,14.58,2.66,1.7,3.16,5.48,52.06,2.75,36.17,21.48,4.38,52.6,3.03,83.14,67.38,0.5,0.017311178998087574,95.66,62.97,0.43,18.94,0.0,0.34961000000000003,0,2.24,24.46
290,Cypress,CA,2.99,28.06,7.06,17.98,4.46,0.58,4.46,12.49,26.62,4.48,21.49,20.71,9.65,33.49,3.3,78.17,72.04,1.69,0.010221544953698277,97.04,69.41,1.15,17.43,0.0,0.31939,0,8.69,51.2
291,Dallas,TX,2.5,31.03,8.72,19.32,5.77,6.68,17.97,26.55,27.12,7.43,14.1,20.4,13.63,28.29,3.24,63.68,67.59,7.28,0.06310601990113986,86.35,44.1,12.32,33.53,3.3966412977950632e-06,1.7441900000000001,1,8.739047619047618,23.199285714285715
292,Dalton,GA,2.49,29.54,11.84,26.24,6.75,0.16,14.76,38.15,20.04,5.78,43.15,16.12,26.93,24.43,3.01,66.86,74.53,1.94,0.037773999356647214,91.4,45.67,1.34,23.97,0.0,0.59542,0,3.956666666666667,42.11
293,Daly City,CA,3.18,28.49,9.6,21.66,8.44,19.13,7.18,21.19,24.21,5.43,10.01,19.12,12.38,21.04,3.65,74.42,79.49,3.64,0.012479552816024092,96.18,58.1,1.3,18.06,0.0,0.57984,0,4.525,22.67
294,Dana Point,CA,2.51,26.16,9.11,16.56,3.19,2.7,7.17,9.73,35.78,3.82,13.17,21.15,6.23,36.56,2.92,76.51,60.21,1.22,0.06160647103085026,86.6,58.88,0.05,17.3,0.0,0.5145299999999999,0,3.6,37.93
295,Danbury,CT,2.72,28.95,10.16,23.55,3.98,2.4,5.76,23.53,26.92,5.4,26.36,21.14,13.42,30.5,3.16,78.27,69.09,2.97,0.0282991537699169,92.85,60.09,1.19,37.28,0.0003162308454677136,0.26594999999999996,1,4.61,26.92
296,Dania,FL,2.25,20.98,19.56,36.36,6.41,2.28,20.64,39.4,11.76,8.89,7.47,21.68,12.04,21.68,2.83,49.89,62.39,8.51,0.14626842751842753,75.26,55.75,4.41,42.52,0.0,2.6498000000000004,0,5.66,50.82
297,Danvers,MA,2.74,24.23,12.83,25.65,3.25,1.57,4.59,13.21,26.61,5.29,19.69,26.59,9.74,32.21,3.12,82.77,76.1,0.8,0.012658227848101266,96.64,74.47,0.0,36.93,0.0,0.27342,0,2.64,16.21
298,Danville,KY,2.54,29.15,14.91,35.62,12.1,0.39,20.03,33.09,16.06,7.91,21.36,27.38,19.5,22.39,2.9,67.99,73.58,3.54,0.025362318840579712,93.95,58.1,0.95,36.19,0.0,0.78285,0,5.42,40.81
299,Daphne,AL,2.56,24.93,9.67,20.53,2.11,0.09,7.06,11.47,35.25,4.13,13.28,23.73,7.94,36.21,3.0,80.38,68.78,1.7,0.04100974313551816,90.5,70.85,0.22,42.55,0.0,0.12333,0,6.81,55.51
300,Darien,CT,2.84,19.99,11.89,22.23,1.72,24.42,1.91,6.27,59.34,3.31,13.81,21.4,3.32,48.67,3.14,90.55,46.14,0.42,0.013959111892723676,96.18,85.64,1.57,36.61,0.0,0.02707,0,0.75,5.28
301,Davenport,IA,2.56,27.75,11.3,26.36,8.0,1.06,15.59,21.19,20.14,6.51,17.62,22.98,16.81,24.95,3.08,68.0,69.95,5.04,0.032916199007688836,92.22,61.17,7.84,43.56,4.4370784513232565e-05,1.56555,0,4.53,52.98
302,Davis,CA,2.58,47.53,5.54,10.9,3.33,3.34,25.47,5.02,63.78,5.43,4.16,50.43,4.23,46.94,2.92,75.19,70.34,1.38,0.007704126901685818,98.05,40.77,1.69,13.76,0.0,0.1381,0,2.46,50.72
303,Dayton,OH,2.51,29.63,12.01,28.83,15.5,7.48,26.53,31.66,12.29,10.39,18.62,25.98,17.69,21.74,3.1,49.22,58.68,10.87,0.04229746654654919,90.42,50.98,14.44,48.9,1.3018830612379425e-05,1.6294300000000002,1,7.880357142857143,38.165000000000006
304,Daytona Beach,FL,2.25,31.84,18.57,37.1,7.76,3.49,22.49,26.4,16.46,7.89,8.01,23.7,8.74,23.54,2.79,49.12,69.44,7.96,0.07462734774955185,85.63,46.85,1.38,23.11,0.00010448797661536474,2.08286,0,5.62,46.52
305,De Pere,WI,2.87,32.94,10.01,25.42,3.71,0.87,7.33,14.58,22.2,3.34,20.85,26.64,16.97,27.59,3.16,83.23,75.74,0.63,0.009898002293439555,97.24,67.58,1.22,25.0,0.0,0.15766,0,2.69,36.88
306,Decatur,GA,2.28,25.7,13.52,29.96,7.1,13.53,17.87,20.56,40.51,5.77,8.36,38.42,8.96,43.45,3.02,54.13,69.01,8.94,0.035359944623904016,92.55,52.66,11.91,48.12,0.00040089986155976003,1.02628,0,4.785555555555556,47.275555555555556
307,Dedham,MA,2.8,25.77,14.26,32.29,5.19,7.64,4.69,15.97,27.01,5.41,11.94,25.68,9.03,31.05,3.21,80.37,67.13,1.16,0.010932638129677907,97.03,79.41,0.38,35.38,0.0,0.27757,0,2.64,17.72
308,Deer Park,TX,3.13,27.74,4.32,13.68,2.82,0.05,5.17,15.69,15.34,5.29,27.16,20.95,12.41,25.74,3.36,83.69,66.53,0.48,0.011029943584550846,96.66,75.04,4.26,35.41,0.0,0.20747,0,1.72,8.88
309,Deerfield Beach,FL,2.0,18.5,33.0,51.75,2.78,1.35,9.89,25.73,16.07,4.79,8.91,16.44,9.25,24.63,2.62,66.1,76.28,3.81,0.12256880733944954,80.28,72.1,1.07,34.29,0.0,0.83258,0,5.66,50.82
310,Del Rio,TX,3.24,30.68,9.33,23.37,16.98,0.53,38.3,47.24,11.12,13.78,7.42,22.66,12.32,20.57,3.71,76.89,49.2,3.56,0.03992835043152581,88.53,61.47,5.87,48.86,0.0,0.30247,0,15.45,67.45
311,Delano,CA,3.65,30.39,9.67,27.35,18.65,0.35,23.66,58.07,7.6,23.83,5.56,17.87,11.4,14.15,3.96,70.47,66.59,5.28,0.010807486161145768,96.2,53.38,2.03,24.8,0.0,0.74758,0,10.34,69.19
312,Delaware,OH,2.81,33.24,9.52,24.41,5.98,0.35,9.8,20.57,20.2,4.32,23.83,27.64,18.59,24.45,3.06,74.93,74.49,2.15,0.026110833749375936,93.17,55.35,0.96,26.58,0.0,0.2642,0,2.83,36.28
313,Delray Beach,FL,2.21,18.34,28.6,48.39,4.44,0.99,11.35,25.41,21.52,7.2,7.3,21.0,8.72,26.09,2.7,61.66,73.42,5.48,0.13007354655475722,77.71,70.3,2.17,26.66,0.0,1.39948,0,6.12,29.2
314,Deming,NM,2.7,24.59,17.71,39.08,15.41,0.24,33.89,44.6,11.27,17.4,7.04,19.5,13.04,19.3,3.28,65.63,53.38,4.45,0.038833181403828625,90.51,64.39,6.1,37.32,0.0,0.54185,0,13.89,78.95
315,Denison,TX,2.47,24.08,16.37,36.26,8.09,0.0,15.37,33.1,10.88,7.26,25.0,22.8,21.72,17.66,2.99,70.63,73.21,1.18,0.07523831667054173,84.33,67.39,2.84,48.64,0.0,0.8035800000000001,0,6.05,40.4
316,Denton,TX,2.58,43.68,7.1,16.78,3.38,0.14,20.65,18.06,36.45,6.07,12.37,33.49,9.93,30.79,3.05,74.74,70.55,2.94,0.0463558171118153,89.33,39.11,2.28,40.3,0.0,0.6949099999999999,1,5.69,33.1
317,Denver,CO,2.22,25.92,12.22,24.24,7.61,8.19,17.13,20.8,29.05,6.77,10.02,26.82,11.32,31.35,3.0,62.31,69.26,5.65,0.061341716387587945,88.03,49.19,6.41,35.32,8.447210282072668e-06,1.03827,1,7.033939393939393,36.4560606060606
318,Denville,NJ,2.83,23.61,10.35,25.14,3.37,3.73,2.06,11.87,36.01,2.73,18.59,21.92,7.97,38.76,3.17,87.38,66.95,0.52,0.013249348392701999,96.38,85.99,3.28,43.17,0.0,0.16076,0,1.44,14.02
319,Des Moines,IA,2.46,28.54,11.82,27.59,7.15,3.64,12.89,18.98,18.9,4.95,12.97,23.02,13.78,23.35,3.01,68.94,76.61,3.59,0.025032740298260234,94.19,62.02,10.94,40.8,0.0,0.46142,1,6.487272727272727,48.054545454545455
320,Diamond Bar,CA,3.18,27.27,4.08,7.86,3.36,0.89,3.48,9.37,37.02,3.55,18.79,21.34,6.29,39.54,3.46,85.6,69.61,1.16,0.01421597853629453,95.68,85.7,0.39,20.97,0.0,0.47020999999999996,0,9.39,63.0
321,Dickinson,ND,2.6,27.13,12.19,28.92,6.95,0.14,14.75,25.32,16.81,4.88,6.46,27.26,13.56,24.33,3.15,79.49,71.82,1.2,0.040566565198484186,90.45,62.72,0.61,55.13,0.0,0.03689,0,11.06,46.56
322,Dinuba,CA,3.41,29.5,10.45,29.37,23.93,0.0,22.58,50.72,8.98,14.95,8.25,20.32,15.91,15.63,3.69,72.43,58.49,3.93,0.008082869026131994,97.31,59.28,2.91,35.92,0.0,0.58733,0,10.14,67.5
323,Dixon,CA,3.06,27.26,7.16,17.31,4.11,0.15,6.65,23.11,18.18,8.25,12.55,23.66,14.84,22.89,3.35,78.42,69.11,2.11,0.014517834823574657,95.75,66.48,0.0,9.93,0.0,0.3956,0,4.77,59.77
324,Donna,TX,3.84,31.81,10.63,32.14,24.49,0.57,38.96,59.01,8.54,18.14,12.14,28.21,17.93,19.61,4.15,70.46,56.67,3.45,0.07516598166297818,77.62,71.95,6.62,20.61,0.0,0.28475,0,9.43,81.47
325,Dothan,AL,2.59,26.08,11.54,27.91,8.02,0.19,17.03,29.55,19.26,4.87,17.95,23.95,16.4,26.03,3.1,68.34,74.27,4.55,0.028084121741402155,93.22,60.86,3.26,33.22,0.0,1.2570899999999998,0,11.43,59.33
326,Douglas,GA,2.74,27.81,12.8,31.34,18.58,0.0,26.24,38.02,15.86,8.71,26.14,23.16,23.06,21.36,3.17,52.31,67.56,8.41,0.039181957186544346,90.31,61.67,0.49,41.46,0.0,1.72414,0,12.06,64.41666666666667
327,Dover,OH,2.56,20.98,16.77,30.77,6.14,0.3,7.46,21.93,14.26,6.74,25.84,24.37,18.74,26.06,2.96,78.63,67.84,0.45,0.017389001677111837,95.74,73.07,2.03,34.52,0.0,0.06633,1,6.208,45.120000000000005
328,Downey,CA,2.77,28.25,12.31,24.79,6.74,1.8,8.05,23.71,16.32,5.43,22.64,18.39,14.51,24.23,3.19,72.32,66.87,3.62,0.014096058790079174,96.24,52.48,2.95,16.83,6.24425878133065e-05,0.5149900000000001,0,16.136666666666667,54.85333333333333
329,Dracut,MA,2.85,28.78,9.6,24.14,3.98,1.17,3.26,22.94,16.22,8.24,29.53,19.24,11.42,26.74,3.25,82.98,73.93,0.81,0.011213565679456123,96.91,76.38,3.48,48.43,0.0,0.2864,0,3.37,47.4
330,Duarte,CA,3.17,25.74,9.51,21.44,9.29,3.15,7.82,26.61,22.32,6.41,21.54,23.19,13.46,28.24,3.6,78.03,64.61,3.53,0.011020881670533642,96.63,69.28,2.63,12.28,0.0,0.79323,0,10.44,62.24
331,Dublin,GA,2.77,24.17,15.68,30.19,16.09,0.63,25.36,36.91,16.75,8.37,25.96,27.86,18.53,26.24,3.16,57.24,72.44,9.17,0.036905345757724375,90.73,59.12,1.0,53.65,0.0,0.82536,0,4.6475,38.6225
332,Dubuque,IA,2.68,26.93,13.79,31.05,6.47,1.1,10.9,21.58,19.42,5.01,21.58,29.68,15.86,24.8,3.11,79.61,76.35,1.62,0.016334758280332255,95.8,66.11,3.94,42.23,0.0,0.30326,0,3.4,51.19
333,Duncan,OK,2.42,22.3,17.83,36.43,7.48,0.09,18.48,27.29,17.94,7.18,12.67,22.8,13.77,26.96,2.92,76.79,62.12,1.11,0.06529541689674213,86.36,69.54,2.26,64.13,0.0,0.22866,0,5.455,70.495
334,Duncanville,TX,2.86,26.78,6.32,16.44,2.52,0.89,3.78,12.99,29.02,4.57,13.67,22.5,10.66,32.53,3.22,78.22,73.78,1.81,0.023749580396106074,93.64,67.72,0.59,24.62,0.0,0.46596,0,3.29,32.41
335,Dunedin,FL,2.14,17.98,28.7,49.21,3.71,0.65,7.12,18.44,18.91,3.89,10.16,24.25,8.92,25.65,2.64,73.38,77.38,0.79,0.0741797012819005,86.3,70.49,0.52,16.01,0.0,0.5136000000000001,0,5.68,44.86
336,Dunkirk,NY,2.48,24.92,17.24,37.23,14.32,0.83,18.67,29.22,10.18,11.19,26.3,26.55,22.76,16.0,3.06,64.53,66.96,4.92,0.02144542140253056,94.96,64.9,2.67,51.0,0.0,0.25944,0,8.84,45.79
337,Durango,CO,2.7,37.9,10.54,24.86,4.26,1.38,18.78,15.88,31.31,6.45,4.16,27.29,6.57,28.0,2.97,70.24,83.98,2.27,0.02582461786001609,93.47,54.44,0.93,19.31,0.0,0.36175,1,3.84,19.36
338,Durant,OK,2.46,32.0,16.3,35.03,13.97,0.0,29.11,31.14,23.89,10.5,14.1,31.86,16.89,25.47,2.96,67.42,63.53,1.19,0.061608048038680495,86.82,54.26,2.53,50.89,0.0,0.3605,0,7.04,42.355000000000004
339,Durham,NC,2.44,32.98,10.08,21.79,7.3,3.05,14.9,21.54,35.4,4.72,12.56,42.05,9.54,34.05,2.96,59.32,78.2,9.34,0.033716172196968035,92.4,44.16,4.02,34.0,0.0,1.16938,1,4.99,50.56
340,Dyer,IN,3.2,24.31,7.83,19.01,2.42,3.71,1.82,14.77,15.31,3.32,23.64,22.38,14.42,22.14,3.38,88.67,68.08,0.48,0.004485947084134395,98.58,89.01,2.04,30.61,0.0,0.08309,0,1.99,50.25
341,Dyersburg,TN,2.44,26.67,15.05,31.19,14.06,0.0,22.74,44.8,11.96,7.35,37.87,17.73,28.36,20.69,2.95,63.43,67.88,4.2,0.021143592572164,95.1,53.84,2.32,26.38,0.0,0.96656,0,8.93,45.69
342,Eagle Pass,TX,3.52,30.11,10.14,31.17,23.79,1.25,46.12,58.71,8.91,19.01,11.57,28.68,17.93,24.3,3.96,73.36,52.63,2.06,0.023727664519877973,92.29,57.34,6.53,44.9,0.0,0.71274,0,9.57,49.69
343,Easley,SC,2.55,25.71,13.41,30.89,6.94,0.0,10.72,35.79,16.24,5.31,29.97,18.96,21.44,24.03,2.99,73.72,76.23,4.29,0.026587693320171107,93.64,69.62,1.24,44.06,0.0,0.5685,0,5.27,59.39333333333334
344,East Bridgewater,MA,3.09,27.76,8.84,23.99,5.25,1.4,3.89,16.79,16.18,7.25,18.56,21.47,14.65,22.84,3.42,83.89,75.65,1.2,0.009636167146974064,97.11,81.91,2.8,36.45,0.0,0.32182,0,2.28,48.51
345,East Brunswick,NJ,2.92,25.63,8.2,20.27,2.69,10.0,2.27,11.99,40.94,3.86,17.06,28.05,7.58,41.88,3.26,89.38,67.74,0.57,0.010884541195921742,96.92,84.3,1.05,36.92,5.0518967576008085e-05,0.15206999999999998,0,1.31,21.07
346,East Chicago,IN,2.8,28.88,12.35,34.21,16.07,4.07,25.56,42.26,6.61,14.24,32.54,22.07,27.75,13.96,3.42,48.49,53.43,9.84,0.040186474684291276,89.9,45.41,11.01,61.67,0.0,2.57291,0,11.09,45.7
347,East Greenwich,RI,2.67,21.94,10.43,24.62,4.93,1.76,4.72,10.16,44.18,4.07,17.46,26.79,5.79,41.33,3.17,84.23,58.63,1.32,0.018036241045090603,95.41,74.02,2.8,38.32,0.0,0.08402,0,2.78,28.03
348,East Hartford,CT,2.48,26.95,14.21,29.98,5.62,5.95,5.41,26.18,13.58,5.28,20.34,15.39,14.27,21.61,2.97,70.28,75.01,3.26,0.01845318322365813,95.62,59.52,2.04,24.7,0.00012506937286926187,0.38406999999999997,0,17.155,50.269999999999996
349,East Longmeadow,MA,2.86,20.79,15.13,31.66,3.39,0.56,2.98,15.31,24.53,4.41,16.29,26.47,9.35,32.05,3.15,85.89,69.15,0.82,0.00942619884790903,97.37,86.9,1.59,43.65,0.0,0.27681,0,2.96,27.03
350,East Orange,NJ,2.7,28.16,10.2,24.96,14.71,25.57,17.71,30.7,14.65,11.76,14.83,31.18,16.17,21.04,3.42,41.2,71.9,16.74,0.024159778116162715,93.87,27.48,7.32,37.42,0.00010550358929736784,2.94162,1,4.84,76.79
351,East Providence,RI,2.53,24.59,16.6,35.11,6.93,3.57,6.79,33.08,15.97,5.57,26.1,23.93,20.09,22.22,3.07,77.15,75.84,1.58,0.01703056768558952,95.88,60.35,1.63,39.16,0.0,0.15088,0,3.95,40.23
352,Eau Claire,WI,2.68,36.28,11.34,27.84,9.04,1.37,18.82,15.1,23.87,5.91,13.51,30.95,12.97,27.1,3.05,75.63,71.83,2.06,0.013682493657122145,96.46,57.2,0.66,25.56,0.0,0.1442,1,4.82,50.11
353,Eden,NC,2.38,23.1,17.13,37.74,7.77,0.0,16.19,42.28,8.87,4.86,46.34,15.07,32.05,14.9,2.91,64.75,73.54,3.92,0.02611891324320777,94.14,67.42,2.51,63.07,0.0,0.47864999999999996,0,7.39,68.55
354,Edgewater,FL,2.54,22.01,19.12,42.09,5.3,0.15,10.17,28.14,8.06,4.13,14.04,17.53,14.93,18.89,2.89,75.23,68.99,0.43,0.05509552063636956,87.73,78.47,1.18,36.33,0.0,0.98119,0,5.62,46.52
355,Edinburg,TX,3.53,34.33,8.18,24.56,18.87,0.23,33.78,43.81,19.38,12.69,8.03,36.79,13.47,30.96,3.82,69.11,61.66,3.47,0.024493893257487034,92.05,57.33,3.14,30.87,0.0,0.4924,0,10.105,64.265
356,Edison,NJ,2.79,26.53,9.78,19.63,2.92,10.02,3.46,15.51,33.82,4.46,18.2,22.92,10.11,35.1,3.17,85.86,66.79,0.77,0.011964366260712674,96.77,66.9,0.94,28.18,4.454217410915652e-05,0.14393999999999998,0,1.7299999999999998,15.25
357,Edmond,OK,2.79,28.32,6.07,15.63,2.85,0.29,7.33,9.65,43.46,3.89,7.5,29.56,6.28,39.38,3.14,81.78,67.38,1.17,0.035209786868011086,91.06,67.79,0.43,39.63,0.0,0.16072,0,4.48,56.0225
358,Edmonds,WA,2.43,22.48,13.35,26.28,3.16,5.89,4.66,9.76,31.01,3.28,13.51,26.56,7.94,34.7,2.88,77.57,75.92,1.06,0.01031095498308613,97.55,66.99,0.0,20.5,0.0,0.19455,0,3.73,64.44999999999999
359,El Cajon,CA,2.7,30.92,9.65,21.99,12.74,2.17,12.92,21.49,14.45,7.07,12.47,21.82,11.44,23.15,3.09,65.86,62.42,3.29,0.017588761232566266,95.47,40.71,1.47,11.03,0.0,0.89451,1,6.8825,55.73
360,El Campo,TX,2.76,25.5,13.39,32.31,7.17,0.0,22.09,40.64,12.4,8.12,15.27,21.57,21.1,17.42,3.29,74.23,67.14,1.87,0.031490819141851395,91.99,61.97,4.53,57.4,0.0,0.62229,0,9.3,43.76
361,El Centro,CA,3.26,29.41,7.26,22.16,16.87,0.6,23.25,40.47,13.52,13.9,6.82,26.8,12.79,26.17,3.69,71.46,54.55,4.43,0.017429263318888607,94.63,52.54,2.56,28.15,0.0,0.6908099999999999,1,12.55,60.16
362,El Cerrito,CA,2.3,20.18,19.73,32.68,5.64,18.7,5.17,10.69,46.29,3.64,9.25,40.96,5.36,48.38,2.79,74.35,73.43,1.85,0.016922471467926012,96.25,62.86,0.78,32.3,0.0,0.90937,1,6.62,57.29
363,El Dorado,AR,2.53,23.9,16.62,34.84,10.45,0.2,24.83,32.44,16.25,7.53,21.73,22.81,17.68,23.44,3.05,62.36,68.27,6.64,0.047999654367925346,89.18,64.14,3.6,55.27,0.0,0.5169600000000001,0,10.69,60.66
364,El Monte,CA,4.06,35.51,5.84,17.57,15.41,6.47,22.51,55.72,6.01,9.4,34.47,12.19,33.92,11.3,4.24,68.91,51.27,9.19,0.009754352267698595,96.19,40.21,4.44,29.25,9.161182197365573e-05,1.3186,1,11.559999999999999,63.68
365,El Paso,TX,3.21,31.16,8.0,21.77,9.74,3.13,25.32,34.67,16.2,9.85,16.73,24.39,16.24,25.83,3.63,72.19,57.49,3.76,0.015678908375408952,95.21,57.62,5.24,29.26,9.469439711880654e-06,1.03505,0,8.040000000000001,49.808928571428574
366,El Reno,OK,2.89,24.56,12.7,30.91,6.15,0.0,20.96,27.8,9.97,7.84,10.36,20.53,18.52,20.05,3.09,70.36,71.28,3.18,0.05864798235370442,85.51,67.8,4.2,65.93,0.0,0.50956,0,8.44,64.57
367,El Segundo,CA,2.25,28.13,8.9,17.23,2.22,0.72,4.25,9.6,32.49,3.32,30.11,14.71,5.89,42.72,2.88,73.51,70.01,0.74,0.02739276095381988,94.2,40.4,0.72,14.39,0.0,0.43413999999999997,0,1.96,52.77
368,Elizabeth,KY,2.48,27.11,12.92,28.43,7.79,0.21,14.7,25.81,19.9,6.32,15.28,25.24,13.87,30.77,2.97,70.52,69.12,2.37,0.03264160290636869,92.51,60.84,1.01,29.51,0.0,0.45038,0,6.12,69.45
369,Elizabeth City,NC,2.68,29.5,15.52,35.45,14.35,0.12,28.16,35.87,14.85,8.38,12.24,29.48,16.71,22.15,3.07,52.33,62.2,8.59,0.03218583823117828,92.07,49.55,0.65,40.22,0.0,0.82873,0,9.12,62.38
370,Elk City,OK,2.6,25.02,13.67,32.11,12.26,0.0,18.33,33.01,12.64,8.24,6.3,24.19,15.57,23.16,3.11,74.77,70.4,2.82,0.08486766398158803,81.92,64.94,6.78,57.63,0.0,0.23468,0,7.54,67.01
371,Elkhart,IN,2.49,28.17,11.67,25.94,6.72,1.0,12.5,28.27,13.69,5.01,43.45,13.8,29.38,17.86,3.04,63.78,75.19,6.16,0.0373163407981296,91.5,55.94,1.17,24.82,0.0,0.49959,0,3.936666666666666,38.29333333333333
372,Ellensburg,WA,2.58,51.82,9.18,20.36,5.39,0.24,33.88,16.94,29.81,8.07,4.96,36.94,13.3,23.92,2.86,66.28,65.87,1.58,0.018606908826146754,95.41,36.38,2.61,38.7,0.0,0.19679,1,6.87,72.6
