communityName,state,population,householsize,agePct12t21,agePct12t29,agePct16t24,agePct65up,pctWSocSec,pctWPubAsst,PctUsePubTrans,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,PctKidsBornNeverMar,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,LemasPctOfficDrugUn,ViolentCrimesPerPop,has_pp_access,PctFedEduFunding,PctStateEduFunding,PctLocalEduFunding
Carlisle,PA,18419,2.54,18.9,33.27,21.85,14.64,29.47,5.82,0.5,9.85,10.23,24.39,27.48,3.54,60.18,15.23,32.72,15.06,31.4,2.87,68.11,66.82,75.79,74.65,74.02,78.96,2.62,0.02372550084152234,94.32,49.68,2.06,22.65,0.0,352.5,0,1.95,35.39,62.65
Carlsbad,CA,63126,2.53,11.12,24.15,11.03,12.11,24.44,4.03,2.72,6.84,4.12,10.4,35.8,4.81,66.16,13.97,22.6,7.08,37.84,2.92,77.58,75.48,90.74,75.2,55.93,66.55,2.06,0.03548458638278998,91.78,62.24,0.54,12.68,0.0,541.12,0,4.140000000000001,40.099999999999994,55.76
Carmel,IN,25380,2.79,14.01,22.8,10.53,7.57,16.37,1.6,0.27,1.58,1.33,4.96,51.3,2.27,71.22,15.31,23.8,4.06,43.77,3.18,88.24,89.3,96.65,85.87,54.22,65.59,0.21,0.021040189125295507,94.46,71.23,0.0,12.73,0.0,123.07,0,2.08,30.11,67.81
Carpinteria,CA,13747,2.78,14.32,27.77,14.11,11.36,26.68,5.4,2.94,5.92,10.23,23.73,22.6,3.75,69.18,13.79,22.23,12.52,24.58,3.26,73.68,67.86,85.07,69.58,65.97,78.04,1.34,0.03673528769913436,90.75,56.52,0.59,24.16,0.0,480.87,0,5.05,36.73,58.22
Carrboro,NC,11553,2.05,18.2,53.03,32.36,4.06,7.46,2.95,9.72,29.43,3.41,11.13,56.72,4.87,71.79,6.32,49.06,4.71,38.35,2.75,64.9,65.5,81.65,71.09,67.81,69.44,8.12,0.04076863152427941,92.29,24.3,0.85,18.9,0.0,585.46,0,2.1,36.07,61.82
Carrollton,TX,82169,2.7,12.05,27.8,11.04,3.15,7.86,1.49,1.44,4.52,4.14,10.15,37.45,3.85,79.61,18.78,17.16,8.12,36.2,3.12,81.74,80.99,90.37,80.81,63.32,72.17,1.59,0.030911901081916538,92.3,60.67,2.28,15.98,3.176380386763865e-05,214.51,0,4.34,36.104,59.553999999999995
Carson,CA,83995,3.53,16.01,29.52,15.16,7.57,20.71,9.1,2.42,6.95,12.8,28.65,17.06,7.17,64.75,27.23,20.11,17.05,21.14,3.86,76.49,65.66,85.37,81.28,67.01,71.65,3.8,0.007536162866837312,97.41,78.99,3.32,21.33,0.0,1267.73,0,11.19,63.74666666666667,25.063333333333333
Carteret,NJ,19025,2.88,12.69,26.18,12.71,14.07,32.75,5.42,3.92,8.35,13.0,30.57,9.26,6.58,60.61,23.16,14.21,21.06,18.4,3.29,75.42,68.91,81.33,77.72,45.69,61.24,3.95,0.011038107752956636,96.92,70.82,6.19,51.9,0.0,462.84,0,3.45,31.62,64.93
Cartersville,GA,12035,2.53,13.88,25.71,13.49,15.16,32.22,9.73,0.24,14.89,19.62,39.17,14.2,5.73,60.56,32.1,18.99,24.03,23.42,3.02,68.13,62.89,71.28,63.83,71.98,76.62,3.99,0.033984212712920646,92.09,57.5,0.73,34.96,0.0,716.27,0,4.87,54.41,40.72
Carthage,MO,10747,2.5,12.33,23.34,10.78,18.3,38.8,5.77,0.16,12.01,13.23,30.57,12.3,5.41,53.75,32.81,17.38,26.79,19.76,2.97,76.44,72.98,81.91,70.42,60.51,68.88,0.52,0.03898762445333581,91.13,71.44,0.48,47.26,0.0,134.43,0,5.08,42.86,52.06
Cary,NC,43858,2.59,11.9,28.41,11.57,4.11,9.76,1.3,0.18,3.18,1.37,5.1,48.76,2.41,79.5,16.27,24.11,4.53,42.69,3.06,86.29,86.49,95.46,89.49,66.74,73.35,0.72,0.025080943043458433,93.89,67.38,0.18,16.45,0.0,161.68,0,3.75,52.95,43.3
Casa Grande,AZ,19082,2.94,15.47,27.54,13.12,9.89,25.13,10.09,0.71,17.44,14.88,28.01,14.24,7.9,60.92,18.97,23.35,18.66,22.98,3.38,69.39,62.65,67.26,79.21,60.09,67.99,4.18,0.047636516088460326,87.72,62.48,2.42,25.3,0.0,1392.77,0,8.9,47.15,43.95
Casselberry,FL,18911,2.51,12.58,27.02,12.66,12.0,23.88,4.08,0.34,6.25,5.14,17.7,17.41,4.2,70.41,9.98,16.42,9.94,22.1,2.98,73.81,69.58,87.11,76.67,58.11,70.25,1.03,0.028554809370207816,93.32,64.82,0.93,18.15,0.0,575.26,0,3.86,50.81,45.34
Cathedral City,CA,30085,2.76,12.15,27.34,12.45,12.91,29.38,8.31,2.92,13.56,14.2,30.39,12.98,6.24,61.74,5.3,15.86,10.05,18.78,3.32,74.13,67.86,77.45,72.4,58.92,63.07,4.96,0.14329400033239156,71.69,61.78,0.6,14.03,0.0,1231.81,0,6.7,54.52,38.78
Cayce,SC,11163,2.52,12.36,26.78,12.67,13.11,30.41,6.95,1.42,9.3,10.33,26.53,16.5,4.88,64.77,12.48,21.48,14.27,19.71,2.98,70.83,64.02,86.79,65.76,77.18,77.86,4.37,0.02562035295171549,93.94,67.44,2.45,33.22,0.0,1292.78,0,5.7,52.96,41.34
Cedar City,UT,13443,3.31,23.63,38.06,23.28,7.8,22.81,3.76,0.16,17.5,3.15,11.25,26.79,5.83,61.96,8.86,27.32,12.12,23.65,3.58,84.0,82.99,91.29,84.07,52.24,65.28,1.14,0.021870118277170274,93.25,63.39,1.02,28.23,0.0,93.16,0,5.64,55.96,38.4
Cedar Falls,IA,34298,2.93,26.12,39.76,29.32,9.39,24.53,4.2,0.29,16.8,4.32,11.5,31.37,5.08,61.25,14.24,34.61,10.16,28.56,2.98,78.01,78.66,87.71,79.78,60.95,70.01,2.04,0.010991894571112017,96.88,63.73,1.86,38.99,0.0,129.17,1,2.68,53.07,44.25
Cedar Grove,NJ,12053,2.9,10.28,21.07,10.06,17.32,32.74,2.04,6.25,3.0,6.71,16.78,31.32,3.13,59.7,14.77,24.53,6.6,37.81,3.09,87.25,85.41,93.73,97.34,57.25,65.26,0.08,0.005558782045963661,98.41,77.02,0.0,49.25,0.0,384.21,0,1.21,27.49,71.29
Cedar Hill,TX,19976,3.04,13.53,27.46,10.76,3.94,10.01,2.4,1.02,3.72,4.16,13.87,28.24,3.61,75.75,16.88,23.27,9.27,31.67,3.3,83.76,81.82,91.55,83.23,70.96,76.65,0.36,0.023478173808570285,93.34,79.21,0.64,22.81,0.0,106.42,1,3.19,42.62,54.19
Centerville,UT,11500,3.81,20.27,28.35,12.17,4.57,14.54,2.86,3.47,3.57,0.2,5.85,32.44,5.32,70.43,12.64,25.87,8.8,35.59,4.21,89.27,90.32,93.6,89.86,53.28,63.97,0.18,0.0061739130434782605,97.7,84.52,0.0,26.76,0.0,127.76,0,6.04,53.78,40.17
Central Falls,RI,17637,2.65,13.35,29.43,14.07,12.79,32.42,16.66,2.29,22.33,24.71,53.08,5.65,9.85,56.41,48.07,13.28,42.24,9.44,3.23,55.94,53.01,58.3,64.47,52.39,64.35,8.05,0.03934909565118784,90.54,23.71,3.03,37.32,0.0,1483.15,0,9.1,88.47,2.44
Centralia,WA,12101,2.47,13.73,25.35,12.32,15.6,36.25,10.97,0.86,16.3,9.38,26.71,10.69,6.94,53.88,16.38,19.43,18.56,18.92,3.0,66.23,63.71,73.44,69.32,52.43,61.78,1.67,0.02710519791752748,93.73,56.46,2.74,38.41,0.0,537.26,1,7.5,68.56,23.94
Ceres,CA,26314,3.07,14.34,28.25,12.21,7.9,22.68,15.11,0.3,15.5,12.3,32.86,8.83,10.04,57.84,22.26,17.66,21.93,17.27,3.38,76.84,72.93,81.04,80.24,53.72,63.58,2.19,0.01877327658280763,94.56,64.76,0.4,17.0,0.0,611.64,0,6.95,65.0,28.05
Cerritos,CA,53240,3.54,18.6,28.65,15.58,5.48,11.24,5.9,0.94,3.95,3.63,10.78,37.02,3.67,69.17,20.93,22.44,7.51,37.67,3.7,86.48,81.03,93.07,88.19,60.96,71.48,1.15,0.006348610067618332,97.8,83.44,0.59,22.49,0.0,908.08,0,5.43,65.17,29.4
Chandler,AZ,90533,2.87,13.1,29.46,11.91,4.58,12.31,3.8,0.69,9.69,5.78,14.24,26.2,4.54,74.41,22.97,19.81,11.08,31.05,3.3,78.24,76.16,87.2,76.97,62.68,69.25,1.97,0.03840588514685253,90.06,67.7,1.35,26.32,0.0,223.64,0,4.8740000000000006,44.874,50.254
Chapel Hill,NC,38719,2.81,30.34,51.27,37.75,7.53,17.61,2.55,5.54,16.14,3.34,6.65,71.16,4.42,57.03,6.06,53.26,3.57,46.21,2.83,72.41,71.6,88.73,69.84,59.77,69.52,3.23,0.027635011234794286,92.79,40.5,0.37,23.83,0.0,672.46,1,2.545,39.625,57.825
Charleston,WV,57287,2.26,11.96,22.74,10.7,16.39,34.75,10.33,5.26,18.77,9.19,22.75,28.6,7.34,53.1,8.32,29.09,7.56,36.31,2.88,63.92,61.37,68.47,68.53,51.36,62.34,4.78,0.04896398833941383,90.02,55.46,3.21,48.81,0.00017682894897620753,1368.23,1,8.94375,52.208125,38.848124999999996
Charlotte,NC,395934,2.49,13.02,28.82,13.38,8.89,19.77,5.19,4.44,10.83,6.02,19.02,28.35,4.16,70.05,14.3,20.58,13.19,28.73,3.05,67.14,62.84,77.44,68.57,64.88,72.7,6.75,0.028891178832835776,93.29,54.98,3.16,25.91,1.737663347931726e-05,1787.2,1,5.31,48.99,45.7
Chattanooga,TN,152466,2.45,13.77,26.7,13.56,13.57,29.87,9.76,3.06,18.18,12.71,31.04,18.24,6.9,56.09,18.02,23.37,17.19,24.71,2.99,59.57,52.66,65.52,61.86,60.61,66.87,7.21,0.04869282331798565,89.33,54.23,4.3,34.47,4.5977463828000995e-05,1960.67,0,9.160769230769231,37.51384615384615,53.32692307692308
Chelmsford,MA,32383,2.83,13.28,25.84,12.39,8.71,20.61,3.59,1.3,2.55,2.53,9.77,37.68,5.31,72.2,27.16,24.82,7.14,41.38,3.2,84.86,83.47,92.29,84.33,60.36,74.67,0.6,0.011178704876015194,96.94,82.21,2.49,41.16,0.0,369.33,0,2.57,21.18,76.26
Cherry Hill,NJ,69348,2.83,12.71,22.49,11.04,12.63,27.1,2.46,6.99,2.52,3.83,12.48,40.91,3.16,64.5,12.39,29.48,4.93,43.99,3.16,87.04,85.7,96.07,83.94,53.95,65.17,0.61,0.018125973351790968,95.13,84.1,1.43,53.78,3.691526792409298e-05,208.93,0,1.28,16.01,82.7
Chesapeake,VA,151976,2.92,14.33,27.6,12.44,7.8,18.83,5.21,1.03,8.97,7.95,22.89,16.9,4.23,67.88,14.72,21.81,12.16,26.44,3.22,76.7,71.01,82.69,76.22,65.15,73.04,4.04,0.024852608306574722,93.22,72.96,8.05,32.14,3.026793704269095e-05,430.93,0,5.17,39.71,55.12
Cheshire,CT,25684,3.08,15.46,25.18,13.84,10.18,23.52,1.79,1.27,2.23,4.02,11.06,42.74,3.53,63.75,15.04,31.05,5.54,46.31,3.22,89.33,86.49,96.37,86.84,59.82,73.05,0.34,0.009733686341691325,97.09,85.17,0.8,30.4,0.0,30.76,0,1.11,27.53,71.36
Chester,PA,41856,2.88,16.52,29.11,15.68,12.58,33.59,19.65,12.81,25.16,13.42,37.84,7.68,12.4,50.54,17.85,33.55,18.0,16.68,3.38,40.76,34.16,52.22,44.5,65.09,69.12,17.78,0.04718558868501529,88.04,53.11,35.34,59.85,0.0,4877.06,0,9.03,57.53,33.44
Chesterfield,MO,37991,2.9,14.99,23.36,11.37,7.82,17.59,1.18,0.42,2.09,2.95,7.08,53.72,2.27,66.4,20.3,25.17,2.53,49.09,3.24,91.05,90.52,94.94,91.88,47.0,58.56,0.51,0.023795109368008212,93.55,79.45,0.22,22.68,0.0,106.93,0,2.71,22.92,74.37
Cheyenne,WY,50008,2.47,13.58,26.2,12.17,10.85,23.92,5.18,0.35,10.34,5.36,15.41,22.14,6.2,64.51,4.56,24.5,11.5,29.89,3.01,74.03,71.57,80.16,76.26,67.3,73.52,1.84,0.032314829627259636,92.61,63.86,1.3,35.58,0.0,199.81,0,6.52,68.8,24.67
Chickasha,OK,14988,2.49,13.84,25.38,12.24,16.31,33.51,10.04,0.0,23.15,13.83,33.47,18.06,9.5,51.29,16.2,30.48,17.19,24.54,2.98,68.5,64.73,77.13,69.49,60.79,69.09,2.65,0.06925540432345877,85.28,66.47,6.94,67.73,0.0,1134.5,0,8.379999999999999,66.07,25.55
Chico,CA,40079,2.58,24.81,48.68,34.62,7.35,16.58,9.49,1.34,32.03,5.03,14.36,31.76,9.2,55.23,8.31,30.57,8.56,26.74,2.96,61.4,61.02,73.9,62.51,59.93,68.58,3.52,0.019636218468524664,95.17,32.86,1.14,23.38,0.0,449.15,1,6.64,53.92,39.44
Chillicothe,OH,21923,2.42,12.9,23.66,11.37,16.46,34.39,12.22,0.88,19.84,10.68,30.4,13.88,10.65,50.03,23.76,26.17,18.74,24.66,2.95,66.7,65.23,68.57,74.26,55.65,63.75,2.55,0.032979063084431874,92.6,59.71,1.8,52.28,0.0,415.27,0,7.05,44.8,48.16
Chino,CA,59682,3.82,17.94,34.82,17.5,4.72,15.22,7.13,0.53,7.36,11.44,25.79,11.82,5.53,56.41,20.1,17.51,15.19,22.94,3.63,79.91,75.09,89.72,84.24,55.7,66.93,3.78,0.008394490801246607,96.9,67.89,1.0,10.98,0.0,950.76,0,3.34,66.6,30.06
Chippewa Falls,WI,12727,2.49,11.95,25.43,11.89,14.93,33.86,8.75,0.19,11.12,15.8,25.73,13.05,6.85,55.78,29.03,26.98,20.9,22.54,3.0,72.22,72.67,77.26,73.78,67.23,74.49,1.89,0.01854325449831068,95.58,58.78,2.54,39.41,0.0,51.91,0,3.95,50.83,45.22
Christiansburg,VA,15004,2.5,13.56,27.06,12.94,10.69,26.2,6.92,0.11,10.92,16.4,31.37,17.22,4.01,66.17,25.32,25.94,18.73,25.9,2.92,74.15,72.15,89.34,67.53,68.03,76.67,1.1,0.017062116768861636,95.92,67.49,0.39,40.62,0.0,112.94,0,6.46,38.71,54.83
Chula Vista,CA,135163,2.83,14.16,29.21,14.27,10.62,24.07,10.11,4.49,9.8,9.55,24.31,17.65,6.08,61.59,14.75,21.27,11.04,27.14,3.26,73.5,68.32,82.24,75.27,54.89,62.97,2.39,0.014981910730007472,95.94,53.29,1.04,10.81,0.0,721.98,1,7.31,63.99,28.7
Cincinnati,OH,364040,2.36,13.96,29.98,15.2,12.22,26.35,14.32,11.26,24.34,10.23,30.39,22.17,7.84,56.63,15.37,29.69,13.11,29.29,3.11,50.06,45.53,53.22,54.43,57.68,64.27,11.81,0.040506537743105156,91.28,38.34,8.0,40.09,1.3762223931436106e-05,1562.48,1,8.746363636363636,35.792500000000004,55.46181818181819
Claremont,CA,32503,3.1,22.42,32.35,21.82,10.52,22.89,3.36,0.72,5.28,1.94,7.2,51.18,4.22,62.63,12.07,44.32,5.14,46.3,3.13,81.18,76.48,93.07,80.53,54.18,72.08,1.58,0.011045134295295819,96.69,69.81,2.23,25.07,0.0,358.64,0,3.32,63.0,33.68
Claremore,OK,13280,2.57,13.83,26.09,12.5,13.61,27.46,5.75,0.07,15.75,9.48,25.2,15.21,5.27,58.69,19.75,24.15,15.27,23.2,3.04,72.38,70.61,83.96,67.44,55.88,63.35,1.27,0.032153614457831325,92.36,63.34,2.11,53.4,0.0,210.67,0,5.215,62.285,32.49
Clark,NJ,14629,2.65,10.49,21.98,11.07,18.35,37.36,2.43,4.19,1.81,7.57,19.18,23.56,4.08,60.9,21.23,23.91,9.51,34.0,3.05,89.06,86.82,98.96,82.14,49.53,66.34,0.22,0.007861097819399821,97.96,81.26,0.87,45.22,0.0,106.6,0,1.02,10.93,88.05
Clarksburg,WV,18059,2.27,11.99,21.63,10.31,22.2,45.71,9.39,2.14,17.02,10.93,28.67,14.11,11.12,44.96,8.74,28.26,15.9,23.97,2.9,68.87,66.74,77.83,78.15,66.18,69.38,2.08,0.07182014508001551,85.96,63.08,2.54,66.85,0.0,84.57,0,6.76,54.25,38.99
Clarksville,IN,19833,2.44,13.58,27.21,13.3,13.31,28.62,4.89,0.38,9.3,9.72,25.4,9.84,5.79,61.6,20.64,18.05,18.84,17.74,2.95,70.62,68.29,80.12,76.77,68.95,73.74,1.38,0.025008823677708868,94.26,56.59,2.42,21.98,0.0,225.01,0,7.1175,51.055,41.82
Clearfield,UT,21435,3.48,20.46,34.68,18.33,5.21,14.56,6.31,0.68,17.51,3.54,13.46,12.17,6.5,60.9,17.72,14.13,18.17,20.23,3.65,78.22,76.2,84.18,77.32,58.01,66.32,2.63,0.01623512946116165,94.66,54.82,1.44,28.74,0.0,180.13,0,5.795,36.065,58.135
Clearlake,CA,11804,2.28,10.89,18.64,8.68,23.42,49.6,22.96,0.57,22.15,10.62,38.79,5.26,12.8,34.84,3.79,21.69,15.05,17.56,2.8,55.92,50.72,48.36,80.37,51.14,55.79,2.34,0.1809556082683836,70.8,65.59,1.31,57.4,0.0,1687.02,1,11.22,53.26,35.52
Cleburne,TX,22205,2.72,14.51,25.33,12.13,14.36,33.81,6.44,0.29,14.9,12.65,31.22,13.23,8.64,55.53,20.21,21.02,19.41,22.49,3.17,78.2,73.49,87.05,86.54,54.42,61.93,2.06,0.04881783382121144,88.26,67.82,1.01,40.41,0.0,346.72,0,6.99,50.25,42.76
Clemson,SC,11096,2.4,26.67,47.49,36.51,11.11,21.63,1.35,0.0,28.65,5.46,11.77,56.99,5.77,54.64,12.66,47.98,8.72,44.55,2.88,79.98,78.29,92.04,86.09,54.34,68.97,1.68,0.020007209805335255,95.42,47.02,0.0,36.94,0.0,358.97,0,5.47,58.95,35.58
Cleveland,OH,505616,2.53,13.56,27.3,13.11,12.69,30.79,21.95,14.25,28.67,12.53,41.24,8.06,14.0,47.78,23.12,23.61,22.65,16.4,3.21,47.21,41.5,51.6,49.78,48.14,55.61,12.2,0.0485032119236733,89.07,47.93,16.23,52.12,6.625581468940856e-06,1678.54,1,9.168387096774193,45.20870967741936,45.627419354838715
Cliffside Park,NJ,20393,2.32,9.66,24.38,10.7,17.04,31.84,4.94,20.74,4.63,13.64,24.95,26.37,5.86,60.79,15.97,19.49,11.39,31.92,2.91,79.52,77.5,94.16,78.84,47.07,55.05,1.32,0.050507527092629824,89.5,49.0,0.39,30.1,0.0,124.14,0,2.43,13.25,84.32
Clifton,NJ,71742,2.47,10.56,23.01,10.97,18.96,37.02,3.23,5.66,4.7,12.35,27.14,20.43,4.71,62.31,23.42,19.55,13.37,26.96,3.0,81.63,80.21,89.64,83.87,57.55,69.63,1.16,0.013353405257729085,96.81,60.81,0.42,41.54,0.00013743692676535362,205.68,0,2.53,16.13,81.34
Clinton,MS,21847,2.92,17.83,30.86,16.52,7.45,18.35,3.8,0.24,9.48,4.37,13.22,38.29,3.37,70.5,9.57,32.53,7.43,35.55,3.21,76.53,74.47,81.25,77.03,63.43,76.48,3.9,0.019545017622556872,94.61,68.26,0.94,26.7,0.0,122.69,0,3.7300000000000004,66.52,29.743333333333336
Clovis,CA,50323,2.76,14.74,29.59,13.43,7.21,17.57,11.05,0.95,10.34,6.78,18.17,20.13,5.79,68.5,9.08,25.54,11.52,26.75,3.25,73.51,72.49,81.26,76.86,59.21,70.44,2.63,0.012499254813902192,96.67,53.18,1.27,18.76,0.0,402.75,0,6.51,57.49,36.0
Coatesville,PA,11038,2.71,14.4,27.4,12.96,13.97,32.69,11.79,4.79,18.19,9.82,32.4,10.0,6.87,55.49,20.93,29.34,18.2,14.86,3.28,49.04,42.71,58.04,47.54,56.46,67.78,13.77,0.028356586338104728,92.87,50.74,19.81,54.95,0.0,1054.23,1,3.07,35.4,61.53
Cocoa Beach,FL,12123,2.01,8.06,17.47,8.07,26.74,41.26,3.31,0.18,5.24,2.75,9.8,34.74,3.72,49.05,15.66,20.76,7.62,39.88,2.51,70.44,66.79,81.5,81.24,54.51,67.47,0.79,0.18518518518518517,72.84,68.23,0.18,16.75,0.0,620.31,0,5.5,53.1,41.4
Cohoes,NY,16825,2.36,12.9,26.47,12.87,16.65,34.94,8.41,4.54,13.14,15.34,33.74,10.12,7.11,56.82,17.64,21.05,15.63,21.2,3.04,62.98,61.44,63.57,65.09,55.64,69.46,4.13,0.030074294205052005,93.38,45.2,4.74,44.66,0.0,669.02,0,2.75,31.49,65.76
Colchester,VT,14731,2.92,20.52,36.22,21.31,5.31,12.98,3.27,0.69,4.44,4.88,10.21,28.3,3.76,71.51,14.39,26.89,9.99,31.82,3.05,77.39,78.06,83.6,82.35,69.42,79.41,2.52,0.059398547281243635,85.22,70.56,5.6,56.91,0.0,26.17,0,2.94,12.71,84.35
College Station,TX,52456,2.93,43.38,66.64,55.32,2.55,7.07,1.8,3.98,37.98,2.45,6.23,58.92,5.98,49.12,4.06,50.82,6.62,37.71,3.01,80.01,77.47,86.27,74.15,58.3,67.32,2.96,0.037498093640384325,90.09,23.97,0.86,46.72,0.0,219.36,0,5.52,13.04,81.44
Colleyville,TX,12724,3.11,15.97,21.16,10.79,4.11,9.48,1.53,0.27,1.25,2.33,6.98,45.54,3.12,70.71,14.28,18.59,4.67,43.05,3.27,93.6,90.88,96.75,96.08,53.32,58.75,0.38,0.01689720213769255,95.01,94.36,0.47,44.65,0.0,31.75,0,1.72,10.88,87.4
Collierville,TN,14427,3.26,16.43,24.59,11.17,5.28,14.4,2.88,0.0,6.63,6.32,16.88,25.62,2.65,69.67,22.62,17.82,12.94,26.87,3.5,87.31,85.0,96.73,83.63,46.04,61.72,2.91,0.012753864282248562,96.01,83.54,1.09,37.5,0.0,80.61,0,4.15,47.57,48.28
Collingswood,NJ,15289,2.39,12.02,26.53,12.24,14.34,30.49,4.15,14.45,6.09,6.37,17.6,26.62,3.63,66.51,13.64,29.65,7.85,34.24,3.11,73.72,73.23,77.46,82.65,62.89,71.74,2.4,0.021911177971090327,95.03,54.07,0.3,33.73,0.0,408.98,0,2.34,40.71,56.95
Colonial Heights,VA,16064,2.52,13.47,23.87,12.09,14.2,30.24,3.08,0.3,5.71,8.71,22.19,16.69,3.93,63.21,16.23,20.39,11.62,26.65,2.93,77.6,74.85,92.57,76.38,70.63,74.09,0.66,0.014255478087649402,96.53,72.15,0.44,25.76,0.0,234.77,0,3.09,33.43,63.48
Colorado Springs,CO,286215,2.54,13.94,29.0,13.68,8.28,18.7,5.45,1.32,11.05,3.73,12.38,26.69,6.73,65.79,15.86,25.53,10.16,30.72,3.05,74.43,72.43,82.36,75.17,59.23,67.91,2.29,0.04819453907027933,89.08,54.72,1.28,35.47,0.0,510.78,1,5.105238095238095,53.69428571428571,41.20095238095238
Colton,CA,40213,2.99,14.95,33.07,15.3,6.01,16.71,12.25,0.62,15.59,12.32,29.69,13.37,9.69,61.56,14.58,23.82,17.7,21.47,3.5,67.71,62.92,75.42,74.43,52.54,59.09,6.06,0.03235272175664586,91.19,52.0,3.07,12.91,0.0,1095.4,0,7.11,73.13,19.76
Columbia,MO,69101,2.67,26.06,45.3,32.02,7.48,16.91,4.87,1.29,22.42,5.02,12.8,44.98,4.91,60.7,6.25,44.51,7.78,35.91,2.93,70.25,67.89,82.87,62.6,69.78,74.98,5.69,0.02474638572524276,93.79,43.76,2.92,26.67,0.0,587.55,1,6.474117647058824,40.08941176470588,53.436470588235295
Columbus,OH,632270,2.46,15.17,34.21,17.87,8.22,19.09,9.43,4.72,17.26,5.66,21.31,24.57,5.91,65.59,11.59,25.92,12.16,28.97,3.05,63.29,58.94,71.71,63.87,61.47,68.48,7.23,0.03327692283359957,92.42,46.57,6.7,30.6,4.69736030493302e-06,1118.78,1,8.565142857142856,39.50457142857143,51.928
Commerce City,CO,16466,2.87,14.96,27.4,12.67,9.27,24.74,14.47,3.77,23.23,13.8,39.44,3.37,10.59,57.45,17.55,12.53,25.96,10.78,3.29,61.46,55.24,54.09,65.67,52.39,64.0,4.59,0.04081136888133123,89.52,58.9,4.46,48.21,0.0,1509.31,0,4.03,25.48,70.5
Compton,CA,90454,4.05,18.39,33.51,16.8,5.42,20.57,23.3,6.38,27.5,25.38,48.77,6.16,14.33,50.57,29.44,19.62,29.42,13.13,4.31,55.63,47.16,60.35,63.49,46.33,53.92,12.5,0.010126694231321998,96.06,56.84,10.59,36.14,0.00010524686581024609,2169.92,1,13.93,65.01,21.06
Concord,CA,111348,2.65,12.92,27.42,12.7,8.56,18.34,6.67,10.08,6.69,3.65,11.93,26.14,4.58,70.43,10.0,20.12,9.45,29.52,3.1,74.16,72.72,84.48,73.1,61.0,71.37,1.61,0.015941013758666522,95.94,60.94,0.68,12.51,4.9574307576247434e-05,534.46,1,4.312857142857143,49.958571428571425,45.730000000000004
Conneaut,OH,13241,2.6,14.42,25.16,12.14,15.78,36.11,10.31,0.65,19.15,6.65,27.14,6.4,10.91,50.27,36.54,19.76,26.55,16.36,3.09,75.57,72.89,76.4,77.49,53.18,62.75,1.66,0.04757948795408202,88.98,69.92,5.08,69.68,0.0,97.97,0,9.22,53.83,36.95
Connersville,IN,15550,2.48,15.34,26.25,13.02,15.18,37.41,9.25,0.67,14.23,16.78,38.44,8.11,10.84,52.77,37.56,18.29,29.77,17.49,2.98,67.13,63.97,78.0,71.51,61.94,73.72,1.6,0.026559485530546625,93.82,62.71,4.6,48.91,0.0,286.67,0,8.2,49.83,41.97
Conroe,TX,27610,2.76,15.61,30.87,15.62,8.88,22.02,7.49,0.61,18.78,13.31,30.19,18.3,5.87,61.35,10.8,21.76,13.68,23.14,3.22,69.34,64.93,76.72,68.44,49.68,64.84,2.87,0.05374864179645056,87.1,46.91,4.58,41.24,0.0,1404.47,0,3.6439999999999997,42.7,53.65599999999999
Conway,AR,26481,2.81,24.56,40.34,27.54,10.18,25.78,5.56,0.17,16.93,11.45,23.73,27.35,7.02,58.69,17.91,31.61,14.45,27.63,3.0,75.34,72.65,81.82,79.88,69.22,74.22,2.76,0.026509572901325478,93.08,55.06,0.57,25.07,0.0,267.64,0,4.3,47.63,48.07
Cookeville,TN,21744,2.54,23.78,40.9,28.8,11.64,27.15,6.06,0.12,18.95,17.77,30.36,24.39,6.58,56.55,19.84,25.94,15.43,26.68,2.82,73.55,71.23,86.57,78.14,63.64,72.4,1.35,0.03315857247976453,92.23,50.29,0.83,27.32,0.0,237.29,0,7.795,51.795,40.415
Coos Bay,OR,15076,2.41,12.56,23.26,10.77,16.14,35.11,8.69,0.0,17.44,7.53,23.06,13.82,9.82,52.58,13.45,24.7,15.98,23.49,2.88,66.58,63.44,72.64,66.73,61.42,67.43,1.1,0.024210665959140357,94.48,57.47,3.84,36.99,0.0,198.58,0,7.49,59.64,32.87
Coppell,TX,16881,2.81,9.97,24.67,7.77,1.66,4.82,0.64,0.72,2.51,1.79,5.29,46.99,2.28,82.41,15.36,17.93,5.19,45.1,3.14,87.34,87.13,96.21,82.39,62.81,70.69,0.84,0.024109946093240922,93.64,76.42,0.74,42.75,0.0,44.22,0,1.04,9.15,89.82
Copperas Cove,TX,24079,2.98,17.02,35.38,17.85,3.09,9.59,4.23,0.16,11.97,3.87,12.34,13.89,7.81,68.72,5.89,25.74,10.74,21.67,3.28,82.57,78.89,89.72,76.53,58.84,64.7,0.78,0.051206445450392456,86.75,49.79,0.49,45.17,0.0,417.93,0,14.39,63.6,22.01
